region	get reads	find candidates	make pileup images	write outputs	num reads	num candidates	num examples
chr20:10010000-10010999	0.09	0.137	0.013	0.009	625	4	4
chr20:10026000-10026999	0.07	0.038	0.005	0.006	609	2	2
chr20:10042000-10042999	0.073	0.039	0.008	0.009	604	3	3
chr20:10058000-10058999	0.044	0.037	0.003	0.004	618	1	1
chr20:10074000-10074999	0.068	0.039	0.009	0.012	526	4	4
chr20:10090000-10090999	0.072	0.042	0.008	0.009	643	3	3
chr20:10106000-10106999	0.007	0.03	0.0	0.0	0	0	0
chr20:10122000-10122999	0.001	0.028	0.0	0.0	0	0	0
chr20:10138000-10138999	0.001	0.029	0.0	0.0	0	0	0
chr20:10154000-10154999	0.001	0.027	0.0	0.0	0	0	0
chr20:10170000-10170999	0.001	0.029	0.0	0.0	0	0	0
chr20:10186000-10186999	0.001	0.042	0.0	0.0	0	0	0
chr20:10202000-10202999	0.001	0.029	0.0	0.0	0	0	0
chr20:10218000-10218999	0.001	0.028	0.0	0.0	0	0	0
chr20:10234000-10234999	0.001	0.029	0.0	0.0	0	0	0
chr20:10250000-10250999	0.001	0.027	0.0	0.0	0	0	0
chr20:10266000-10266999	0.001	0.027	0.0	0.0	0	0	0
chr20:10282000-10282999	0.001	0.024	0.0	0.0	0	0	0
chr20:10298000-10298999	0.001	0.027	0.0	0.0	0	0	0
chr20:10314000-10314999	0.001	0.027	0.0	0.0	0	0	0
chr20:10330000-10330999	0.001	0.028	0.0	0.0	0	0	0
chr20:10346000-10346999	0.001	0.028	0.0	0.0	0	0	0
chr20:10362000-10362999	0.001	0.027	0.0	0.0	0	0	0
chr20:10378000-10378999	0.001	0.025	0.0	0.0	0	0	0
chr20:10394000-10394999	0.001	0.027	0.0	0.0	0	0	0
chr20:10410000-10410999	0.001	0.16	0.0	0.0	0	0	0
chr20:10426000-10426999	0.001	0.031	0.0	0.0	0	0	0
chr20:10442000-10442999	0.001	0.147	0.0	0.0	0	0	0
chr20:10458000-10458999	0.001	0.059	0.0	0.0	0	0	0
chr20:10474000-10474999	0.001	0.027	0.0	0.0	0	0	0
chr20:10490000-10490999	0.001	0.028	0.0	0.0	0	0	0
chr20:10506000-10506999	0.001	0.027	0.0	0.0	0	0	0
chr20:10522000-10522999	0.001	0.027	0.0	0.0	0	0	0
chr20:10538000-10538999	0.001	0.026	0.0	0.0	0	0	0
chr20:10554000-10554999	0.001	0.027	0.0	0.0	0	0	0
chr20:10570000-10570999	0.001	0.028	0.0	0.0	0	0	0
chr20:10586000-10586999	0.001	0.027	0.0	0.0	0	0	0
chr20:10602000-10602999	0.001	0.027	0.0	0.0	0	0	0
chr20:10618000-10618999	0.001	0.026	0.0	0.0	0	0	0
chr20:10634000-10634999	0.001	0.026	0.0	0.0	0	0	0
chr20:10650000-10650999	0.001	0.028	0.0	0.0	0	0	0
chr20:10666000-10666999	0.001	0.025	0.0	0.0	0	0	0
chr20:10682000-10682999	0.001	0.025	0.0	0.0	0	0	0
chr20:10698000-10698999	0.001	0.027	0.0	0.0	0	0	0
chr20:10714000-10714999	0.001	0.027	0.0	0.0	0	0	0
chr20:10730000-10730999	0.001	0.028	0.0	0.0	0	0	0
chr20:10746000-10746999	0.001	0.027	0.0	0.0	0	0	0
chr20:10762000-10762999	0.001	0.027	0.0	0.0	0	0	0
chr20:10778000-10778999	0.001	0.027	0.0	0.0	0	0	0
chr20:10794000-10794999	0.001	0.027	0.0	0.0	0	0	0
chr20:10810000-10810999	0.001	0.028	0.0	0.0	0	0	0
chr20:10826000-10826999	0.001	0.027	0.0	0.0	0	0	0
chr20:10842000-10842999	0.001	0.028	0.0	0.0	0	0	0
chr20:10858000-10858999	0.001	0.028	0.0	0.0	0	0	0
chr20:10874000-10874999	0.001	0.027	0.0	0.0	0	0	0
chr20:10890000-10890999	0.001	0.028	0.0	0.0	0	0	0
chr20:10906000-10906999	0.001	0.027	0.0	0.0	0	0	0
chr20:10922000-10922999	0.001	0.028	0.0	0.0	0	0	0
chr20:10938000-10938999	0.001	0.028	0.0	0.0	0	0	0
chr20:10954000-10954999	0.001	0.028	0.0	0.0	0	0	0
chr20:10970000-10970999	0.001	0.027	0.0	0.0	0	0	0
chr20:10986000-10986999	0.001	0.025	0.0	0.0	0	0	0
